motif_archetype	calderon_celltype	analysis_set	n_total	n_high	n_low	n_overlap	n_high_overlap	n_high_not_overlap	n_low_overlap	n_low_not_overlap	firth_status	converged	iterations	coefficient	standard_error	p_value	odds_ratio	ci_lower_95	ci_upper_95	log_likelihood_penalized	warning_text	model_context	analysis_version	pooling_strategy	global_fdr	cell_fdr
EWSR1_FLI1	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
Ebox_CACCTG	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
Ebox_CACGTG_1	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
Ebox_CACGTG_2	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
Ebox_CAGATGG	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
Ebox_CAGCTG	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
Ebox_CATATG	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
FEZF1	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
FOX_1	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
FOX_2	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
FOX_3	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
