motif_archetype	calderon_celltype	analysis_set	n_total	n_high	n_low	n_overlap	n_high_overlap	n_high_not_overlap	n_low_overlap	n_low_not_overlap	firth_status	converged	iterations	coefficient	standard_error	p_value	odds_ratio	ci_lower_95	ci_upper_95	log_likelihood_penalized	warning_text	model_context	analysis_version	pooling_strategy	global_fdr	cell_fdr
AHR	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
AIRE	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
AP1_1	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
AP1_2	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
ARI5A	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
ARI5B	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
BATF	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
BCL6_1	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
BCL6_2	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
CCAAT_CEBP	Memory_Tregs	strict_primary	3684	14	3670	1	0	14	1	3669	firth_fit_ok	True	11.0	5.81228977231694		0.0325637450153351	334.383912772949	2.07989144190328	8121.10801703906	-90.6350230417493		Memory_Tregs	existing_single_source	single_source_no_pooling_correction	0.253805468428383	0.154080042405078
CENBP	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
CPEB1	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
CREB3_XBP1	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
CREB_ATF_1	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
CREB_ATF_2	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
CREB_ATF_3	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
CTCF	Memory_Tregs	strict_primary	3684	14	3670	1	0	14	1	3669	firth_fit_ok	True	11.0	3.03792820017075		0.191054412602871	20.861976591117	0.107840720023898	825.149747088531	-90.6380316652237		Memory_Tregs	existing_single_source	single_source_no_pooling_correction	0.313030519671805	0.222876490120687
CUX_1	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
CUX_2	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
CUX_3	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
CUX_4	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
DDIT3+CEBPA	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
DMRT1	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
DMRT3	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
E2F_1	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
E2F_2	Memory_Tregs	strict_primary	3684	14	3670	1	0	14	1	3669	firth_fit_ok	True	11.0	3.03792820017075		0.191054412602871	20.861976591117	0.107840720023898	825.149747088531	-90.6380316652237		Memory_Tregs	existing_single_source	single_source_no_pooling_correction	0.313030519671805	0.222876490120687
E2F_3	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
E2F_4	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
EBF1	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
EGR	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
ETS_1	Memory_Tregs	strict_primary	3684	14	3670	1	0	14	1	3669	firth_fit_ok	True	11.0	4.90530793597238		0.0541362311152978	135.004476341295	0.874284254767191	2949.22298041086	-90.6349316521652		Memory_Tregs	existing_single_source	single_source_no_pooling_correction	0.253805468428383	0.154080042405078
ETS_2	Memory_Tregs	strict_primary	3684	14	3670	1	0	14	1	3669	firth_fit_ok	True	11.0	3.5394399753603		0.120797966273161	34.4476222707356	0.230989832392217	683.304186447778	-90.6350137647143		Memory_Tregs	existing_single_source	single_source_no_pooling_correction	0.259664004424786	0.191317152149991
EVI1_MECOM	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
EWSR1_FLI1	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
Ebox_CACCTG	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
Ebox_CACGTG_1	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
Ebox_CACGTG_2	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
Ebox_CAGATGG	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
Ebox_CAGCTG	Memory_Tregs	strict_primary	3684	14	3670	1	0	14	1	3669	firth_fit_ok	True	11.0	4.94265239416389		0.0523004882746999	140.141467444664	0.926747407052214	2887.02919188926	-90.6347488084185		Memory_Tregs	existing_single_source	single_source_no_pooling_correction	0.253805468428383	0.154080042405078
Ebox_CATATG	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
FEZF1	Memory_Tregs	strict_primary	3684	14	3670	1	0	14	1	3669	firth_fit_ok	True	11.0	4.91717607063203		0.0539380519278373	136.616273238706	0.879705706465206	3017.51547984763	-90.6352649619006		Memory_Tregs	existing_single_source	single_source_no_pooling_correction	0.253805468428383	0.154080042405078
FOX_1	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
FOX_2	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
FOX_3	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
FOX_4	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
FOX_5	Memory_Tregs	strict_primary	3684	14	3670	1	0	14	1	3669	firth_fit_ok	True	11.0	3.62331410387047		0.116284835642706	37.4615136713517	0.24564147969863	790.346161562401	-90.6351015340678		Memory_Tregs	existing_single_source	single_source_no_pooling_correction	0.256929107238217	0.191317152149991
FOX_6	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
FOX_7	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
FOX_8	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
FOX_9	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
GATA	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
GC-tract	Memory_Tregs	strict_primary	3684	14	3670	9	0	14	9	3661	firth_fit_ok	True	11.0	0.923239624494984		0.606313090164904	2.51743273049025	0.0169451037966373	40.4958902598681	-89.5492703228222		Memory_Tregs	existing_single_source	single_source_no_pooling_correction	0.668967652058469	0.623155120447262
GCM	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
GFI	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
GLI	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
GLIS	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
GMEB2_1	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
GMEB2_2	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
GMEB2_3	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
GRHL	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
HAND1	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
HD_1	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
HD_10	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
HD_11	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
HD_12	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
HD_13	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
HD_14	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
HD_15	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
HD_16	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
HD_17	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
HD_18	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
HD_19	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
HD_2	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
HD_20	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
HD_21	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
HD_22	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
HD_23	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
HD_24	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
HD_25	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
HD_3	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
HD_4	Memory_Tregs	strict_primary	3684	14	3670	1	0	14	1	3669	firth_fit_ok	True	11.0	3.15557884126921		0.15521865486084	23.4666166070008	0.153612035475224	496.843548651065	-90.635372500859		Memory_Tregs	existing_single_source	single_source_no_pooling_correction	0.288437821772955	0.21270704555004
HD_5	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
HD_6	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
HD_7	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
HD_8	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
HD_9	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
HEN1	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
HIC_1	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
HIC_2	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
HIF	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
HINFP1_1	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
HINFP1_2	Memory_Tregs	strict_primary	3684	14	3670	1	0	14	1	3669	firth_fit_ok	True	11.0	3.03792820017075		0.191054412602871	20.861976591117	0.107840720023898	825.149747088531	-90.6380316652237		Memory_Tregs	existing_single_source	single_source_no_pooling_correction	0.313030519671805	0.222876490120687
HINFP1_3	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
HLTF	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
HOMEZ	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
HSF	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
HSFY2	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
INSM1	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
IRF_1	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
IRF_2	Memory_Tregs	strict_primary	3684	14	3670	2	0	14	2	3668	firth_fit_ok	True	11.0	4.45539418564108		0.0696584975937939	86.0900796308086	0.572653243690545	1392.73757584646	-90.290248049363		Memory_Tregs	existing_single_source	single_source_no_pooling_correction	0.253805468428383	0.159027181829039
IRF_3	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
IRF_4	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
KAISO	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
KLF_SP_1	Memory_Tregs	strict_primary	3684	14	3670	2	0	14	2	3668	firth_fit_ok	True	11.0	3.01354556716916		0.192758045509783	20.3594579321283	0.106347394087799	698.96989272996	-90.2938446428422		Memory_Tregs	existing_single_source	single_source_no_pooling_correction	0.313777659842786	0.222876490120687
KLF_SP_2	Memory_Tregs	strict_primary	3684	14	3670	9	0	14	9	3661	firth_fit_ok	True	11.0	0.925770649945011		0.605550167728393	2.52381248705719	0.0169780133747723	41.2956889050026	-89.5522276292268		Memory_Tregs	existing_single_source	single_source_no_pooling_correction	0.668967652058469	0.623155120447262
KLF_SP_3	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
LEF1	Memory_Tregs	strict_primary	3684	14	3670	1	0	14	1	3669	firth_fit_ok	True	11.0	3.43901420570281		0.129268346047291	31.1562293914155	0.206786581461457	636.015541275115	-90.6351590664282		Memory_Tregs	existing_single_source	single_source_no_pooling_correction	0.26648351664667	0.191317152149991
LIN54	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
MAF	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
MBD2	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
MECP2	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
MEF2	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
MFZ1	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
MIES	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
MTF1	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
MYB_1	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
MYB_2	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
MYB_3	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
MYB_4	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
MYB_5	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
MZF1	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
NFAC_2	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
NFAT_1	Memory_Tregs	strict_primary	3684	14	3670	3	0	14	3	3667	firth_fit_ok	True	11.0	3.42303755673916		0.124164265010765	30.6624125247512	0.221319587245653	356.797764468429	-90.0860261069283		Memory_Tregs	existing_single_source	single_source_no_pooling_correction	0.261831745494168	0.191317152149991
NFAT_2	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
NFAT_3	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
NFAT_4	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
NFI_1	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
NFI_2	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
NFI_3	Memory_Tregs	strict_primary	3684	14	3670	1	0	14	1	3669	firth_fit_ok	True	11.0	5.12851666077421		0.0471719940666079	168.766594175738	1.10371428614056	3583.588261459	-90.6348253951215		Memory_Tregs	existing_single_source	single_source_no_pooling_correction	0.253805468428383	0.154080042405078
NFKB_1	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
NFKB_2	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
NFKB_3	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
NFY	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
NR2E3	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
NRF1	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
NR_1	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
NR_10	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
NR_11	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
NR_12	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
NR_13	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
NR_14	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
NR_15	Memory_Tregs	strict_primary	3684	14	3670	1	1	13	0	3670	firth_fit_ok	True	11.0	3.22116781404067		0.0493726908947102	25.0573654446881	1.00916653652108	4162.03907987355	-90.6370148765405		Memory_Tregs	existing_single_source	single_source_no_pooling_correction	0.253805468428383	0.154080042405078
NR_16	Memory_Tregs	strict_primary	3684	14	3670	2	0	14	2	3668	firth_fit_ok	True	11.0	4.29306710029005		0.0743985563838603	73.1906075290645	0.513375137557978	1013.19064829306	-90.2883120104773		Memory_Tregs	existing_single_source	single_source_no_pooling_correction	0.253805468428383	0.159027181829039
NR_17	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
NR_18	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
NR_19	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
NR_2	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
NR_20	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
NR_3	Memory_Tregs	strict_primary	3684	14	3670	3	0	14	3	3667	firth_fit_ok	True	11.0	2.5707216389931		0.236717255045723	13.0752566522446	0.0769374104851362	283.944782786916	-90.0898459183474		Memory_Tregs	existing_single_source	single_source_no_pooling_correction	0.349263417246342	0.258424703650755
NR_4	Memory_Tregs	strict_primary	3684	14	3670	0	0	14	0	3670	skip_motif_no_variation	False										Memory_Tregs	existing_single_source	single_source_no_pooling_correction		
